source,target,mean_diff,p,perms,rank,q
8,19,0.0,1.0,20000,321,1.0
9,19,0.0,1.0,20000,282,1.0
10,19,-0.08333333333333337,1.0,20000,297,1.0
11,19,-0.16666666666666663,0.680565971701415,20000,221,1.0
12,19,0.16666666666666674,0.640217989100545,20000,182,1.0
13,19,0.0,1.0,20000,352,1.0
14,19,0.0,1.0,20000,337,1.0
15,19,0.25,0.4055297235138243,20000,101,1.0
16,19,0.08333333333333326,1.0,20000,417,1.0
17,19,0.41666666666666663,0.06849657517124144,20000,9,1.0
18,19,-0.08333333333333337,1.0,20000,444,1.0
20,19,-0.08333333333333326,1.0,20000,464,1.0
21,19,0.0,1.0,20000,244,1.0
22,19,0.0,1.0,20000,503,1.0
0,20,0.25,0.31953402329883507,20000,64,1.0
1,20,-0.08333333333333326,1.0,20000,259,1.0
2,20,0.16666666666666663,0.6705664716764161,20000,213,1.0
3,20,0.08333333333333337,1.0,20000,427,1.0
4,20,-0.16666666666666663,0.6690665466726664,20000,209,1.0
5,20,0.08333333333333337,1.0,20000,392,1.0
6,20,-0.08333333333333337,1.0,20000,362,1.0
7,20,0.08333333333333337,1.0,20000,330,1.0
8,20,0.0,1.0,20000,322,1.0
9,20,-0.08333333333333326,1.0,20000,283,1.0
10,20,-0.16666666666666663,0.6815159242037898,20000,225,1.0
11,20,-0.16666666666666674,0.6382680865956702,20000,176,1.0
12,20,0.25,0.3697315134243288,20000,81,1.0
13,20,0.08333333333333326,1.0,20000,353,1.0
14,20,-0.16666666666666663,0.5827208639568021,20000,126,1.0
15,20,0.16666666666666663,0.6828658567071646,20000,229,1.0
16,20,-0.24999999999999994,0.41307934603269836,20000,106,1.0
17,20,0.25,0.32053397330133493,20000,68,1.0
18,20,-0.16666666666666674,0.6416179191040448,20000,189,1.0
19,20,0.0,1.0,20000,473,1.0
21,20,-0.08333333333333326,1.0,20000,245,1.0
22,20,-0.4166666666666667,0.09069546522673866,20000,14,1.0
0,21,-0.25,0.40522973851307437,20000,100,1.0
1,21,-0.25,0.31268436578171094,20000,47,1.0
2,21,-0.08333333333333326,1.0,20000,488,1.0
3,21,-0.41666666666666663,0.06574671266436678,20000,7,1.0
4,21,-0.25,0.3153342332883356,20000,53,1.0
5,21,-0.16666666666666663,0.5901204939753012,20000,146,1.0
6,21,-0.08333333333333337,1.0,20000,363,1.0
7,21,-0.08333333333333337,1.0,20000,331,1.0
8,21,-0.16666666666666674,0.6409179541022949,20000,187,1.0
9,21,-0.25,0.2217389130543473,20000,43,1.0
10,21,-0.33333333333333337,0.0968451577421129,20000,23,1.0
11,21,0.0,1.0,20000,287,1.0
12,21,-0.41666666666666663,0.06859657017149143,20000,10,1.0
13,21,-0.25,0.22143892805359733,20000,42,1.0
14,21,-0.33333333333333337,0.09249537523123844,20000,15,1.0
15,21,0.08333333333333337,1.0,20000,374,1.0
16,21,-0.08333333333333331,1.0,20000,418,1.0
17,21,-0.16666666666666674,0.6432678366081696,20000,194,1.0
18,21,-0.33333333333333337,0.09484525773711315,20000,19,1.0
19,21,-0.33333333333333326,0.15489225538723064,20000,26,1.0
20,21,-0.08333333333333337,1.0,20000,465,1.0
22,21,-0.4166666666666667,0.0864456777161142,20000,12,1.0
0,22,-0.16666666666666663,0.6780660966951653,20000,218,1.0
1,22,-0.3333333333333333,0.20893955302234887,20000,35,1.0
2,22,0.08333333333333337,1.0,20000,489,1.0
3,22,-0.16666666666666669,0.6821658917054148,20000,227,1.0
4,22,-0.16666666666666663,0.664116794160292,20000,199,1.0
5,22,-0.25,0.4017299135043248,20000,97,1.0
6,22,-0.08333333333333326,1.0,20000,364,1.0
7,22,-0.16666666666666663,0.6836158192090396,20000,231,1.0
8,22,-0.16666666666666674,0.6325683715814209,20000,164,1.0
9,22,-0.25,0.36823158842057896,20000,78,1.0
10,22,-0.25,0.3695815209239538,20000,80,1.0
11,22,-0.08333333333333331,1.0,20000,288,1.0
12,22,0.16666666666666663,0.6840157992100395,20000,232,1.0
13,22,-0.16666666666666663,0.6682665866706665,20000,207,1.0
14,22,-0.08333333333333326,1.0,20000,338,1.0
15,22,-0.16666666666666663,0.6781660916954152,20000,219,1.0
16,22,0.0,1.0,20000,410,1.0
17,22,-0.16666666666666669,0.6813659317034149,20000,224,1.0
18,22,-0.08333333333333326,1.0,20000,445,1.0
19,22,-0.08333333333333337,1.0,20000,474,1.0
20,22,-0.08333333333333331,1.0,20000,253,1.0
21,22,-0.16666666666666674,0.6386680665966702,20000,178,1.0
